time,flight_id,event,gate,wait_time,task,duration
1704.0999999997064,FL070,task_completed,,,FUEL,
1719.899999999543,FL063,task_completed,,,FUEL,
1778.2999999994945,FL063,task_completed,,,BAGGAGE_OUT,
1804.4999999994934,FL067,task_completed,,,WATER,
1809.4999999994934,FL067,task_completed,,,FUEL,
1814.4999999994934,FL067,task_completed,,,BAGGAGE_OUT,
1819.4999999994934,FL067,task_completed,,,CLEAN,
1819.4999999994934,FL067,task_completed,,,CATERING,
1834.4999999994934,FL067,task_completed,,,BAGGAGE_IN,
1834.4999999994934,FL067,task_completed,,,GPU,
1834.4999999994934,FL067,gate_end,c11,,,472.99999999960687
1834.4999999994934,FL072,gate_start,c11,455.4999999994934,,
1845.499999999498,FL071,task_completed,,,WATER,
1850.499999999498,FL071,task_completed,,,FUEL,
1855.499999999498,FL071,task_completed,,,BAGGAGE_OUT,
1856.0999999995636,FL070,task_completed,,,WATER,
1860.499999999498,FL071,task_completed,,,CATERING,
1860.499999999498,FL071,task_completed,,,CLEAN,
